AssemblyName,AssemblySite,ComponentName,ComponentSite,Qty,SubGroup,UsageShare
IC-7NM-SOC,DC-US,IC-7NM-SOC,FT-SG,1,,
IC-7NM-SOC,FT-SG,IC-7NM-SOC,OSAT-MY,1,,
IC-7NM-SOC,OSAT-MY,BUMPED-DIE-7NM,OSAT-MY,1,,
IC-7NM-SOC,OSAT-MY,BGA-SUBSTRATE,OSAT-MY,1,,
IC-7NM-SOC,OSAT-MY,UNDERFILL,OSAT-MY,1,,
IC-7NM-SOC,OSAT-MY,LID-HEATSINK,OSAT-MY,1,,
BUMPED-DIE-7NM,OSAT-MY,BUMPED-DIE-7NM,BUMP-TW,1,,
BUMPED-DIE-7NM,BUMP-TW,TESTED-DIE-7NM,BUMP-TW,1,,
BUMPED-DIE-7NM,BUMP-TW,SOLDER-BUMP,BUMP-TW,5000,,
TESTED-DIE-7NM,BUMP-TW,TESTED-DIE-7NM,FAB-TW,1,,
TESTED-DIE-7NM,FAB-TW,WAFER-7NM,FAB-TW,1,,
WAFER-7NM,FAB-TW,SILICON-INGOT,FAB-TW,1,,
WAFER-7NM,FAB-TW,PHOTOMASK-7NM,FAB-TW,1,,
WAFER-7NM,FAB-TW,PHOTORESIST,FAB-TW,3,,
WAFER-7NM,FAB-TW,ETCH-CHEM,FAB-TW,2,,
IC-28NM-MCU,DC-EU,IC-28NM-MCU,FT-SG,1,,
IC-28NM-MCU,FT-SG,IC-28NM-MCU,OSAT-CN,1,,
IC-28NM-MCU,OSAT-CN,TESTED-DIE-28NM,OSAT-CN,1,,
IC-28NM-MCU,OSAT-CN,QFN-LEADFRAME,OSAT-CN,1,,
IC-28NM-MCU,OSAT-CN,BOND-WIRE-AU,OSAT-CN,12,,
IC-28NM-MCU,OSAT-CN,MOLD-COMPOUND,OSAT-CN,1,,
TESTED-DIE-28NM,OSAT-CN,TESTED-DIE-28NM,FAB-US,1,,
TESTED-DIE-28NM,FAB-US,WAFER-28NM,FAB-US,1,,
WAFER-28NM,FAB-US,SILICON-INGOT,FAB-US,1,,
WAFER-28NM,FAB-US,PHOTOMASK-28NM,FAB-US,1,,
WAFER-28NM,FAB-US,PHOTORESIST,FAB-US,3,,
MOD-5G-RF,DC-US,MOD-5G-RF,FT-SG,1,,
MOD-5G-RF,FT-SG,MOD-5G-RF,OSAT-MY,1,,
MOD-5G-RF,OSAT-MY,DIE-RF-BOUGHT,OSAT-MY,1,,
MOD-5G-RF,OSAT-MY,DIE-PA-BOUGHT,OSAT-MY,2,,
MOD-5G-RF,OSAT-MY,FILTER-SAW,OSAT-MY,4,,
MOD-5G-RF,OSAT-MY,SIP-SUBSTRATE,OSAT-MY,1,,
