PartNumber,Site,Activity,Supplier,LeadTime,MaxLeadTime,SupplierCount,SingleSource,Approved,Notes
AIP-SUBSTRATE,OSAT-MY,Buy,UNIMICRON,24,26,2,False,,
AIP-SUBSTRATE,OSAT-MY,Buy,AT-S,26,26,2,False,,
BGA-SUBSTRATE,OSAT-MY,Buy,IBIDEN,21,25,2,False,,
BGA-SUBSTRATE,OSAT-MY,Buy,SHINKO-ELEC,25,25,2,False,,
BOND-WIRE-AU,OSAT-CN,Buy,HERAEUS,8,8,1,True,,
BOND-WIRE-CU,OSAT-CN,Buy,HERAEUS,6,7,2,False,,
BOND-WIRE-CU,OSAT-CN,Buy,TANAKA-KIKI,7,7,2,False,,
BUMPED-DIE-7NM,BUMP-TW,Make,,0,0,0,False,,
BUMPED-DIE-7NM,OSAT-MY,Transfer,,0,0,0,False,,
BUMPED-DIE-GPU,BUMP-TW,Make,,0,0,0,False,,
BUMPED-DIE-GPU,OSAT-MY,Transfer,,0,0,0,False,,
DFN-LEADFRAME,OSAT-CN,Buy,MITSUI-HIGH,10,10,1,True,,
DIE-BT,OSAT-MY,Buy,NORDIC-SEMI,30,30,1,True,,
DIE-PA-BOUGHT,OSAT-MY,Buy,SKYWORKS,45,45,2,False,,
DIE-PA-BOUGHT,OSAT-MY,Buy,QORVO,42,45,2,False,,
DIE-RF-BOUGHT,OSAT-MY,Buy,QUALCOMM,60,60,1,True,,
DIE-WIFI,OSAT-MY,Buy,BROADCOM,50,50,2,False,,
DIE-WIFI,OSAT-MY,Buy,MEDIATEK,45,50,2,False,,
EPOXY-COMPOUND,OSAT-CN,Buy,SUMITOMO-BAK,9,9,1,True,,
ETCH-CHEM,FAB-TW,Buy,FUJIFILM,10,10,1,True,,
FILTER-BAW,OSAT-MY,Buy,MURATA,18,22,2,False,,
FILTER-BAW,OSAT-MY,Buy,QUALCOMM,22,22,2,False,,
FILTER-SAW,OSAT-MY,Buy,MURATA,21,24,2,False,,
FILTER-SAW,OSAT-MY,Buy,TDK-CORP,24,24,2,False,,
GPU-INTERPOSER,OSAT-MY,Buy,IBIDEN,25,28,2,False,,
GPU-INTERPOSER,OSAT-MY,Buy,SHINKO-ELEC,28,28,2,False,,
GPU-LID,OSAT-MY,Buy,COOLIANCE,16,16,1,True,,
GPU-UNDERFILL,OSAT-MY,Buy,NAMICS,7,7,1,True,,
IC-28NM-IOT,DC-EU,Transfer,,0,0,0,False,,
IC-28NM-IOT,FT-SG,Make,,0,0,0,False,,
IC-28NM-IOT,OSAT-CN,Make,,0,0,0,False,,
IC-28NM-MCU,DC-EU,Transfer,,0,0,0,False,,
IC-28NM-MCU,FT-SG,Make,,0,0,0,False,,
IC-28NM-MCU,OSAT-CN,Make,,0,0,0,False,,
IC-7NM-GPU,DC-US,Transfer,,0,0,0,False,,
IC-7NM-GPU,FT-SG,Make,,0,0,0,False,,
IC-7NM-GPU,OSAT-MY,Make,,0,0,0,False,,
IC-7NM-SOC,DC-US,Transfer,,0,0,0,False,,
IC-7NM-SOC,FT-SG,Make,,0,0,0,False,,
IC-7NM-SOC,OSAT-MY,Make,,0,0,0,False,,
LID-HEATSINK,OSAT-MY,Buy,COOLIANCE,14,14,1,True,,
MARKING-INK,FT-SG,Buy,HITACHI-CHEM,5,5,1,True,,
MICROBUMP,BUMP-TW,Buy,SENJU-METAL,6,8,2,False,,
MICROBUMP,BUMP-TW,Buy,INDIUM-CORP,8,8,2,False,,
MOD-5G-RF,DC-US,Transfer,,0,0,0,False,,
MOD-5G-RF,FT-SG,Make,,0,0,0,False,,
MOD-5G-RF,OSAT-MY,Make,,0,0,0,False,,
MOD-WIFI-6,DC-US,Transfer,,0,0,0,False,,
MOD-WIFI-6,FT-SG,Make,,0,0,0,False,,
MOD-WIFI-6,OSAT-MY,Make,,0,0,0,False,,
MOLD-COMPOUND,OSAT-CN,Buy,SUMITOMO-BAK,10,10,1,True,,
PHOTOMASK-28NM,FAB-US,Buy,HOYA,30,30,2,False,,
PHOTOMASK-28NM,FAB-US,Buy,TOPPAN,28,30,2,False,,
PHOTOMASK-7NM,FAB-TW,Buy,HOYA,45,50,2,False,,
PHOTOMASK-7NM,FAB-TW,Buy,DAI-NIPPON,50,50,2,False,,
PHOTOMASK-EUV,FAB-TW,Buy,ASML-LITHO,55,55,2,False,,
PHOTOMASK-EUV,FAB-TW,Buy,NIKON-PREC,52,55,2,False,,
PHOTOMASK-IOT,FAB-US,Buy,HOYA,28,28,2,False,,
