AssemblyName,AssemblySite,ComponentName,ComponentSite,Qty,SubGroup,UsageShare,_SCAFFOLD_Error
IC-7NM-SOC,DC-US,IC-7NM-SOC,FT-SG,1,,,
IC-7NM-SOC,FT-SG,IC-7NM-SOC,OSAT-MY,1,,,
IC-7NM-SOC,OSAT-MY,BUMPED-DIE-7NM,OSAT-MY,1,,,
IC-7NM-SOC,OSAT-MY,BGA-SUBSTRATE,OSAT-MY,1,,,
IC-7NM-SOC,OSAT-MY,UNDERFILL,OSAT-MY,1,,,
IC-7NM-SOC,OSAT-MY,LID-HEATSINK,OSAT-MY,1,,,
BUMPED-DIE-7NM,OSAT-MY,BUMPED-DIE-7NM,BUMP-TW,1,,,
BUMPED-DIE-7NM,BUMP-TW,TESTED-DIE-7NM,BUMP-TW,1,,,
BUMPED-DIE-7NM,BUMP-TW,SOLDER-BUMP,BUMP-TW,5000,,,
TESTED-DIE-7NM,BUMP-TW,TESTED-DIE-7NM,FAB-TW,1,,,
TESTED-DIE-7NM,FAB-TW,WAFER-7NM,FAB-TW,1,,,
WAFER-7NM,FAB-TW,SILICON-INGOT,FAB-TW,1,,,
WAFER-7NM,FAB-TW,PHOTOMASK-7NM,FAB-TW,1,,,
WAFER-7NM,FAB-TW,PHOTORESIST,FAB-TW,3,,,
WAFER-7NM,FAB-TW,ETCH-CHEM,FAB-TW,2,,,
IC-28NM-MCU,DC-EU,IC-28NM-MCU,FT-SG,1,,,
IC-28NM-MCU,FT-SG,IC-28NM-MCU,OSAT-CN,1,,,
IC-28NM-MCU,OSAT-CN,TESTED-DIE-28NM,OSAT-CN,1,,,
IC-28NM-MCU,OSAT-CN,QFN-LEADFRAME,OSAT-CN,1,,,
IC-28NM-MCU,OSAT-CN,BOND-WIRE-AU,OSAT-CN,12,,,
IC-28NM-MCU,OSAT-CN,MOLD-COMPOUND,OSAT-CN,1,,,
TESTED-DIE-28NM,OSAT-CN,TESTED-DIE-28NM,FAB-US,1,,,
TESTED-DIE-28NM,FAB-US,WAFER-28NM,FAB-US,1,,,
WAFER-28NM,FAB-US,SILICON-INGOT,FAB-US,1,,,
WAFER-28NM,FAB-US,PHOTOMASK-28NM,FAB-US,1,,,
WAFER-28NM,FAB-US,PHOTORESIST,FAB-US,3,,,
MOD-5G-RF,DC-US,MOD-5G-RF,FT-SG,1,,,
MOD-5G-RF,FT-SG,MOD-5G-RF,OSAT-MY,1,,,
MOD-5G-RF,OSAT-MY,DIE-RF-BOUGHT,OSAT-MY,1,,,
MOD-5G-RF,OSAT-MY,DIE-PA-BOUGHT,OSAT-MY,2,,,
MOD-5G-RF,OSAT-MY,FILTER-SAW,OSAT-MY,4,,,
MOD-5G-RF,OSAT-MY,SIP-SUBSTRATE,OSAT-MY,1,,,
IC-7NM-GPU,DC-US,IC-7NM-GPU,FT-SG,1,,,
IC-7NM-GPU,FT-SG,IC-7NM-GPU,OSAT-MY,1,,,
IC-7NM-GPU,OSAT-MY,BUMPED-DIE-GPU,OSAT-MY,1,,,
IC-7NM-GPU,OSAT-MY,GPU-INTERPOSER,OSAT-MY,1,,,
IC-7NM-GPU,OSAT-MY,GPU-UNDERFILL,OSAT-MY,1,,,
IC-7NM-GPU,OSAT-MY,GPU-LID,OSAT-MY,1,,,
BUMPED-DIE-GPU,OSAT-MY,BUMPED-DIE-GPU,BUMP-TW,1,,,
BUMPED-DIE-GPU,BUMP-TW,TESTED-DIE-GPU,BUMP-TW,1,,,
BUMPED-DIE-GPU,BUMP-TW,MICROBUMP,BUMP-TW,8000,,,
TESTED-DIE-GPU,BUMP-TW,TESTED-DIE-GPU,FAB-TW,1,,,
TESTED-DIE-GPU,FAB-TW,WAFER-GPU,FAB-TW,1,,,
WAFER-GPU,FAB-TW,SILICON-INGOT,FAB-TW,1,,,
WAFER-GPU,FAB-TW,PHOTOMASK-EUV,FAB-TW,1,,,
WAFER-GPU,FAB-TW,PHOTORESIST,FAB-TW,4,,,
WAFER-GPU,FAB-TW,ETCH-CHEM,FAB-TW,3,,,
IC-28NM-IOT,DC-EU,IC-28NM-IOT,FT-SG,1,,,
IC-28NM-IOT,FT-SG,IC-28NM-IOT,OSAT-CN,1,,,
IC-28NM-IOT,OSAT-CN,TESTED-DIE-IOT,OSAT-CN,1,,,
IC-28NM-IOT,OSAT-CN,DFN-LEADFRAME,OSAT-CN,1,,,
IC-28NM-IOT,OSAT-CN,BOND-WIRE-CU,OSAT-CN,8,,,
IC-28NM-IOT,OSAT-CN,EPOXY-COMPOUND,OSAT-CN,1,,,
TESTED-DIE-IOT,OSAT-CN,TESTED-DIE-IOT,FAB-US,1,,,
TESTED-DIE-IOT,FAB-US,WAFER-IOT,FAB-US,1,,,
WAFER-IOT,FAB-US,SILICON-INGOT,FAB-US,1,,,
WAFER-IOT,FAB-US,PHOTOMASK-IOT,FAB-US,1,,,
WAFER-IOT,FAB-US,PHOTORESIST,FAB-US,2,,,
MOD-WIFI-6,DC-US,MOD-WIFI-6,FT-SG,1,,,
MOD-WIFI-6,FT-SG,MOD-WIFI-6,OSAT-MY,1,,,
MOD-WIFI-6,OSAT-MY,DIE-WIFI,OSAT-MY,1,,,
MOD-WIFI-6,OSAT-MY,DIE-BT,OSAT-MY,1,,,
MOD-WIFI-6,OSAT-MY,FILTER-BAW,OSAT-MY,2,,,
MOD-WIFI-6,OSAT-MY,AIP-SUBSTRATE,OSAT-MY,1,,,
TESTED-DIE-7NM,FAB-TW,PROBE-CARD-7NM,FAB-TW,1,,,
TESTED-DIE-GPU,FAB-TW,PROBE-CARD-7NM,FAB-TW,1,,,
TESTED-DIE-28NM,FAB-US,PROBE-CARD-28NM,FAB-US,1,,,
TESTED-DIE-IOT,FAB-US,PROBE-CARD-28NM,FAB-US,1,,,
IC-7NM-SOC,FT-SG,TEST-SOCKET-ADV,FT-SG,1,,,
IC-7NM-GPU,FT-SG,TEST-SOCKET-ADV,FT-SG,1,,,
MOD-5G-RF,FT-SG,TEST-SOCKET-ADV,FT-SG,1,,,
IC-28NM-MCU,FT-SG,TEST-SOCKET-STD,FT-SG,1,,,
IC-28NM-IOT,FT-SG,TEST-SOCKET-STD,FT-SG,1,,,
MOD-WIFI-6,FT-SG,TEST-SOCKET-STD,FT-SG,1,,,
IC-7NM-SOC,FT-SG,MARKING-INK,FT-SG,1,,,
IC-28NM-MCU,FT-SG,MARKING-INK,FT-SG,1,,,
IC-7NM-GPU,FT-SG,MARKING-INK,FT-SG,1,,,
IC-28NM-IOT,FT-SG,MARKING-INK,FT-SG,1,,,
MOD-5G-RF,FT-SG,MARKING-INK,FT-SG,1,,,
MOD-WIFI-6,FT-SG,MARKING-INK,FT-SG,1,,,
