PartNumber,Site,Stage,IsEndProduct,_SCAFFOLD_Error
IC-7NM-SOC,DC-US,Distribution,True,
IC-7NM-SOC,FT-SG,Final Test,False,
IC-7NM-SOC,OSAT-MY,Assembly,False,
BUMPED-DIE-7NM,OSAT-MY,Assembly,False,
BUMPED-DIE-7NM,BUMP-TW,Bumping,False,
TESTED-DIE-7NM,BUMP-TW,Bumping,False,
TESTED-DIE-7NM,FAB-TW,Circuit Probe,False,
WAFER-7NM,FAB-TW,Fabrication,False,
SILICON-INGOT,FAB-TW,Fabrication,False,
PHOTOMASK-7NM,FAB-TW,Fabrication,False,
PHOTORESIST,FAB-TW,Fabrication,False,
ETCH-CHEM,FAB-TW,Fabrication,False,
SOLDER-BUMP,BUMP-TW,Bumping,False,
BGA-SUBSTRATE,OSAT-MY,Assembly,False,
UNDERFILL,OSAT-MY,Assembly,False,
LID-HEATSINK,OSAT-MY,Assembly,False,
IC-28NM-MCU,DC-EU,Distribution,True,
IC-28NM-MCU,FT-SG,Final Test,False,
IC-28NM-MCU,OSAT-CN,Assembly,False,
TESTED-DIE-28NM,OSAT-CN,Assembly,False,
TESTED-DIE-28NM,FAB-US,Circuit Probe,False,
WAFER-28NM,FAB-US,Fabrication,False,
SILICON-INGOT,FAB-US,Fabrication,False,
PHOTOMASK-28NM,FAB-US,Fabrication,False,
PHOTORESIST,FAB-US,Fabrication,False,
QFN-LEADFRAME,OSAT-CN,Assembly,False,
BOND-WIRE-AU,OSAT-CN,Assembly,False,
MOLD-COMPOUND,OSAT-CN,Assembly,False,
MOD-5G-RF,DC-US,Distribution,True,
MOD-5G-RF,FT-SG,Final Test,False,
MOD-5G-RF,OSAT-MY,Assembly,False,
DIE-RF-BOUGHT,OSAT-MY,Assembly,False,
DIE-PA-BOUGHT,OSAT-MY,Assembly,False,
FILTER-SAW,OSAT-MY,Assembly,False,
SIP-SUBSTRATE,OSAT-MY,Assembly,False,
IC-7NM-GPU,DC-US,Distribution,True,
IC-7NM-GPU,FT-SG,Final Test,False,
IC-7NM-GPU,OSAT-MY,Assembly,False,
BUMPED-DIE-GPU,OSAT-MY,Assembly,False,
BUMPED-DIE-GPU,BUMP-TW,Bumping,False,
TESTED-DIE-GPU,BUMP-TW,Bumping,False,
TESTED-DIE-GPU,FAB-TW,Circuit Probe,False,
WAFER-GPU,FAB-TW,Fabrication,False,
PHOTOMASK-EUV,FAB-TW,Fabrication,False,
GPU-INTERPOSER,OSAT-MY,Assembly,False,
GPU-UNDERFILL,OSAT-MY,Assembly,False,
GPU-LID,OSAT-MY,Assembly,False,
MICROBUMP,BUMP-TW,Bumping,False,
IC-28NM-IOT,DC-EU,Distribution,True,
IC-28NM-IOT,FT-SG,Final Test,False,
IC-28NM-IOT,OSAT-CN,Assembly,False,
TESTED-DIE-IOT,OSAT-CN,Assembly,False,
TESTED-DIE-IOT,FAB-US,Circuit Probe,False,
WAFER-IOT,FAB-US,Fabrication,False,
PHOTOMASK-IOT,FAB-US,Fabrication,False,
DFN-LEADFRAME,OSAT-CN,Assembly,False,
BOND-WIRE-CU,OSAT-CN,Assembly,False,
EPOXY-COMPOUND,OSAT-CN,Assembly,False,
MOD-WIFI-6,DC-US,Distribution,True,
MOD-WIFI-6,FT-SG,Final Test,False,
MOD-WIFI-6,OSAT-MY,Assembly,False,
DIE-WIFI,OSAT-MY,Assembly,False,
DIE-BT,OSAT-MY,Assembly,False,
FILTER-BAW,OSAT-MY,Assembly,False,
AIP-SUBSTRATE,OSAT-MY,Assembly,False,
PROBE-CARD-7NM,FAB-TW,Circuit Probe,False,
PROBE-CARD-28NM,FAB-US,Circuit Probe,False,
TEST-SOCKET-ADV,FT-SG,Final Test,False,
TEST-SOCKET-STD,FT-SG,Final Test,False,
MARKING-INK,FT-SG,Final Test,False,
