PartNumber,Site,Stage,IsEndProduct
IC-7NM-SOC,DC-US,Distribution,TRUE
IC-7NM-SOC,FT-SG,Final Test,FALSE
IC-7NM-SOC,OSAT-MY,Assembly,FALSE
BUMPED-DIE-7NM,OSAT-MY,Assembly,FALSE
BUMPED-DIE-7NM,BUMP-TW,Bumping,FALSE
TESTED-DIE-7NM,BUMP-TW,Bumping,FALSE
TESTED-DIE-7NM,FAB-TW,Circuit Probe,FALSE
WAFER-7NM,FAB-TW,Fabrication,FALSE
SILICON-INGOT,FAB-TW,Fabrication,FALSE
PHOTOMASK-7NM,FAB-TW,Fabrication,FALSE
PHOTORESIST,FAB-TW,Fabrication,FALSE
ETCH-CHEM,FAB-TW,Fabrication,FALSE
SOLDER-BUMP,BUMP-TW,Bumping,FALSE
BGA-SUBSTRATE,OSAT-MY,Assembly,FALSE
UNDERFILL,OSAT-MY,Assembly,FALSE
LID-HEATSINK,OSAT-MY,Assembly,FALSE
IC-28NM-MCU,DC-EU,Distribution,TRUE
IC-28NM-MCU,FT-SG,Final Test,FALSE
IC-28NM-MCU,OSAT-CN,Assembly,FALSE
TESTED-DIE-28NM,OSAT-CN,Assembly,FALSE
TESTED-DIE-28NM,FAB-US,Circuit Probe,FALSE
WAFER-28NM,FAB-US,Fabrication,FALSE
SILICON-INGOT,FAB-US,Fabrication,FALSE
PHOTOMASK-28NM,FAB-US,Fabrication,FALSE
PHOTORESIST,FAB-US,Fabrication,FALSE
QFN-LEADFRAME,OSAT-CN,Assembly,FALSE
BOND-WIRE-AU,OSAT-CN,Assembly,FALSE
MOLD-COMPOUND,OSAT-CN,Assembly,FALSE
MOD-5G-RF,DC-US,Distribution,TRUE
MOD-5G-RF,FT-SG,Final Test,FALSE
MOD-5G-RF,OSAT-MY,Assembly,FALSE
DIE-RF-BOUGHT,OSAT-MY,Assembly,FALSE
DIE-PA-BOUGHT,OSAT-MY,Assembly,FALSE
FILTER-SAW,OSAT-MY,Assembly,FALSE
SIP-SUBSTRATE,OSAT-MY,Assembly,FALSE
