AssemblyName,AssemblySite,ComponentName,ComponentSite,Qty,SubGroup,UsageShare,_SCAFFOLD_Error
FG-MOTOR,DC-WEST,FG-MOTOR,PLANT-A,1,,,
FG-MOTOR,PLANT-A,HOUSING,PLANT-A,1,,,
FG-MOTOR,PLANT-A,SHAFT,PLANT-A,1,,,
FG-MOTOR,PLANT-A,BEARING,PLANT-A,2,,,
FG-MOTOR,PLANT-A,SEAL-KIT,PLANT-A,1,,,
FG-MOTOR,PLANT-A,ROTOR,PLANT-A,1,,,
FG-MOTOR,PLANT-A,STATOR,PLANT-A,1,,,
FG-MOTOR,PLANT-A,BOLT-SET,PLANT-A,4,,,
ROTOR,PLANT-A,WIRE-COIL,PLANT-A,3,,,
STATOR,PLANT-A,WIRE-COIL,PLANT-A,5,,,
FG-PUMP,PLANT-B,HOUSING,PLANT-B,1,,,
FG-PUMP,PLANT-B,IMPELLER,PLANT-B,1,,,
FG-PUMP,PLANT-B,VOLUTE,PLANT-B,1,,,
FG-PUMP,PLANT-B,SEAL-KIT,PLANT-A,2,,,
FG-PUMP,PLANT-B,GASKET,PLANT-B,0,,,Qty <= 0
FG-PUMP,PLANT-B,FLANGE,PLANT-B,-1,,,Qty <= 0
HOUSING,PLANT-A,CASTING-RAW,PLANT-A,1,,,
,PLANT-A,BOLT-SET,PLANT-A,1,,,Blank AssemblyName
VOLUTE,PLANT-B,,PLANT-B,1,,,Blank ComponentName
BEARING,PLANT-A,SEAL-KIT,PLANT-A,1,ALT-SEAL,0.7,SubGroup 'ALT-SEAL' sums to 0.9000
BEARING,PLANT-A,GASKET,PLANT-B,1,ALT-SEAL,0.2,SubGroup 'ALT-SEAL' sums to 0.9000
IMPELLER,PLANT-B,SHAFT,PLANT-A,1,ALT-SHAFT,0.6,
IMPELLER,PLANT-B,ROTOR,PLANT-A,1,ALT-SHAFT,,Missing UsageShare
SEAL-KIT,PLANT-A,ROTOR,PLANT-A,1,,,
ROTOR,PLANT-A,STATOR,PLANT-A,1,,,
STATOR,PLANT-A,SEAL-KIT,PLANT-A,1,,,
