PartNumber,Site,Stage,IsEndProduct
FG-MOTOR,PLANT-A,Assembly,TRUE
FG-MOTOR,DC-WEST,Distribution,TRUE
FG-PUMP,PLANT-B,Assembly,TRUE
HOUSING,PLANT-A,Machining,FALSE
HOUSING,PLANT-B,Machining,FALSE
SHAFT,PLANT-A,Machining,FALSE
BEARING,PLANT-A,Assembly,FALSE
SEAL-KIT,PLANT-A,Assembly,FALSE
ROTOR,PLANT-A,Machining,FALSE
STATOR,PLANT-A,Machining,FALSE
IMPELLER,PLANT-B,Machining,FALSE
VOLUTE,PLANT-B,Casting,FALSE
,PLANT-A,Machining,FALSE
BOLT-SET,PLANT-A,Fastening,FALSE
WIRE-COIL,,Winding,FALSE
GASKET,PLANT-B,Sealing,FALSE
FLANGE,PLANT-B,Casting,FALSE
ORPHAN-PART,PLANT-C,Warehouse,FALSE
